,,
Plan School/College,Academic Plan,Link
Letters & Science,Classics BS,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-bs/index.html
Letters & Science,Communication Sciences & Disorders BA,https://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-ba/index.html
Letters & Science,Communication Sciences & Disorders BS,https://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-bs/index.html
Letters & Science,Communication Arts BA,https://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-ba/index.html
Letters & Science,Communication Arts BS,https://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-bs/index.html
Letters & Science,Computer Sciences BA,https://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-ba/index.html
Letters & Science,Computer Sciences BS,https://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-bs/index.html
Letters & Science,Conservation Biology BA,https://guide.wisc.edu/undergraduate/letters-science/botany/conservation-biology-ba/index.html
Letters & Science,Conservation Biology BS,https://guide.wisc.edu/undergraduate/letters-science/botany/conservation-biology-bs/index.html
Letters & Science,Data Science BA,https://guide.wisc.edu/undergraduate/letters-science/statistics/data-science-ba/
Letters & Science,Data Science BS,https://guide.wisc.edu/undergraduate/letters-science/statistics/data-science-bs/
Letters & Science,Economics BA,https://guide.wisc.edu/undergraduate/letters-science/economics/economics-ba/index.html
Letters & Science,Economics BS,https://guide.wisc.edu/undergraduate/letters-science/economics/economics-bs/index.html
Letters & Science,English BA,https://guide.wisc.edu/undergraduate/letters-science/english/english-ba/index.html
Letters & Science,English BS,https://guide.wisc.edu/undergraduate/letters-science/english/english-bs/index.html
Letters & Science,Environmental Sciences BA,https://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/environmental-sciences-ba/index.html
Letters & Science,Environmental Sciences BS,https://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/environmental-sciences-bs/index.html
