,,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level,Student Level  /  Academic Level
,,Undergraduate,Undergraduate,Undergraduate,Undergraduate,Graduate,Special (Non-Degree),Grand Total
Plan School/College,Academic Plan,Freshman,Sophomore,Junior,Senior,Masters,College,Total
Letters & Science,"Latin American, Caribbean & Iberian Studies BA",,1,1,6,,,8
Letters & Science,"Latin American, Caribbean & Iberian Studies BS",,,,2,,,2
Letters & Science,Latin BA,,,1,1,,,2
Letters & Science,Latin BS,,,,4,,,4
Letters & Science,Legal Studies BA,,41,96,126,1,,264
Letters & Science,Legal Studies BS,,6,18,37,,,61
Letters & Science,Linguistics BA,2,2,20,33,,,57
Letters & Science,Linguistics BS,,1,6,6,,,13
Letters & Science,Mathematics BA,,1,18,54,,,73
Letters & Science,Mathematics BS,,14,102,277,,,393
Letters & Science,Microbiology BA,,,1,1,,,2
Letters & Science,Microbiology BS,,3,27,38,,,68
Letters & Science,Molecular & Cell Biology BA,,,,1,,,1
Letters & Science,Molecular & Cell Biology BS,,9,30,71,,,110
Letters & Science,Music BA,11,14,12,16,,,53
Letters & Science,Music BS,3,12,8,9,,,32
Letters & Science,Music: Education BM,5,12,9,7,,,33
Letters & Science,Music: Performance BM,7,7,10,9,,,33
Letters & Science,Neurobiology BA,,2,12,13,,,27
Letters & Science,Neurobiology BS,3,54,204,380,,,641
Letters & Science,No Major Code BA,"1,694","1,436",489,44,,,"3,663"
Letters & Science,No Major Code BS,"1,562","2,099",869,90,,,"4,620"
Letters & Science,Philosophy BA,,5,38,37,,,80
Letters & Science,Philosophy BS,,4,12,33,,,49
Letters & Science,Physics BA,,,2,5,,,7
Letters & Science,Physics BS,,10,33,69,,,112
Letters & Science,Polish BA,,,,1,,,1
Letters & Science,Polish BS,,,1,4,,,5
Letters & Science,Political Science BA,8,84,278,320,,,690
Letters & Science,Political Science BS,,12,43,79,,,134
Letters & Science,Portuguese BA,,,,4,,,4
Letters & Science,Portuguese BS,,,1,1,,,2
Letters & Science,Psychology BA,4,96,316,337,2,,755
Letters & Science,Psychology BS,,54,166,305,,,525
Letters & Science,Religious Studies BA,,,2,6,,,8
Letters & Science,Religious Studies BS,,1,,3,,,4
Letters & Science,Russian BA,1,,4,12,,,17
Letters & Science,Russian BS,,,,1,,,1
Letters & Science,Scandinavian Studies BA,,1,2,1,,,4
Letters & Science,Scandinavian Studies BS,,1,1,4,,,6
Letters & Science,Social Welfare BA,1,11,70,27,,,109
Letters & Science,Social Welfare BS,,3,4,10,,,17
Letters & Science,Social Work BSW,,,4,41,,,45
Letters & Science,Sociology BA,2,15,51,70,,,138
Letters & Science,Sociology BS,,4,17,34,,,55
Letters & Science,Spanish BA,,9,42,102,,,153
Letters & Science,Spanish BS,1,5,20,58,,,84
Letters & Science,Statistics BA,1,1,9,22,,,33
Letters & Science,Statistics BS,,11,47,103,,,161
Letters & Science,Zoology BA,,2,8,11,,,21
Letters & Science,Zoology BS,2,5,25,50,,,82
Nursing,Intended: Nursing BSN,179,197,114,12,,,502
Nursing,Nursing Accelerated BSN,,,,43,,,43
Nursing,Nursing BSN,,,92,230,,,322
Nursing,Nursing Collaborative Program BSN,,2,8,43,,,53
Pharmacy,Pharmacology & Toxicology BS,,,17,29,,,46
